package:{"ShipCount":1,"TimeMark":650048,"Ships":[{"SeqNum":1,"Distance":128.9,"Speed":"0.53","Position":1,"Amplitude":20}]}
package:{"ShipCount":1,"TimeMark":652264,"Ships":[{"SeqNum":1,"Distance":134.76,"Speed":"0.57","Position":1,"Amplitude":12}]}
package:{"ShipCount":1,"TimeMark":654480,"Ships":[{"SeqNum":1,"Distance":131.83,"Speed":"0.57","Position":1,"Amplitude":23}]}
package:{"ShipCount":1,"TimeMark":656695,"Ships":[{"SeqNum":1,"Distance":136.23,"Speed":"0.61","Position":1,"Amplitude":8}]}
package:{"ShipCount":1,"TimeMark":658911,"Ships":[{"SeqNum":1,"Distance":133.3,"Speed":"0.61","Position":1,"Amplitude":8}]}
package:{"ShipCount":1,"TimeMark":661126,"Ships":[{"SeqNum":1,"Distance":134.76,"Speed":"0.61","Position":1,"Amplitude":22}]}
package:{"ShipCount":1,"TimeMark":663342,"Ships":[{"SeqNum":1,"Distance":136.23,"Speed":"0.65","Position":1,"Amplitude":19}]}
package:{"ShipCount":1,"TimeMark":665558,"Ships":[{"SeqNum":1,"Distance":137.69,"Speed":"0.65","Position":1,"Amplitude":12}]}
package:{"ShipCount":1,"TimeMark":667773,"Ships":[{"SeqNum":1,"Distance":139.16,"Speed":"0.65","Position":1,"Amplitude":21}]}
package:{"ShipCount":1,"TimeMark":669989,"Ships":[{"SeqNum":1,"Distance":140.62,"Speed":"0.69","Position":1,"Amplitude":15}]}
package:{"ShipCount":1,"TimeMark":672204,"Ships":[{"SeqNum":1,"Distance":142.08,"Speed":"0.69","Position":1,"Amplitude":10}]}
package:{"ShipCount":1,"TimeMark":674420,"Ships":[{"SeqNum":1,"Distance":143.55,"Speed":"0.69","Position":1,"Amplitude":10}]}
package:{"ShipCount":1,"TimeMark":676636,"Ships":[{"SeqNum":1,"Distance":146.48,"Speed":"0.69","Position":1,"Amplitude":20}]}
package:{"ShipCount":1,"TimeMark":678851,"Ships":[{"SeqNum":1,"Distance":147.94,"Speed":"0.73","Position":1,"Amplitude":11}]}
package:{"ShipCount":1,"TimeMark":681067,"Ships":[{"SeqNum":1,"Distance":149.41,"Speed":"0.73","Position":1,"Amplitude":16}]}
package:{"ShipCount":1,"TimeMark":683283,"Ships":[{"SeqNum":1,"Distance":150.87,"Speed":"0.73","Position":1,"Amplitude":19}]}
package:{"ShipCount":1,"TimeMark":685498,"Ships":[{"SeqNum":1,"Distance":152.34,"Speed":"0.73","Position":1,"Amplitude":17}]}
package:{"ShipCount":1,"TimeMark":687714,"Ships":[{"SeqNum":1,"Distance":153.8,"Speed":"0.73","Position":1,"Amplitude":20}]}
package:{"ShipCount":1,"TimeMark":689929,"Ships":[{"SeqNum":1,"Distance":155.27,"Speed":"0.73","Position":1,"Amplitude":10}]}
package:{"ShipCount":1,"TimeMark":692145,"Ships":[{"SeqNum":1,"Distance":57.12,"Speed":"0.12","Position":1,"Amplitude":14}]}
package:{"ShipCount":1,"TimeMark":694361,"Ships":[{"SeqNum":1,"Distance":57.12,"Speed":"0.12","Position":1,"Amplitude":14}]}
package:{"ShipCount":1,"TimeMark":696576,"Ships":[{"SeqNum":1,"Distance":159.66,"Speed":"0.73","Position":1,"Amplitude":21}]}
package:{"ShipCount":1,"TimeMark":698792,"Ships":[{"SeqNum":1,"Distance":48.33,"Speed":"0.12","Position":1,"Amplitude":8}]}
package:{"ShipCount":1,"TimeMark":701008,"Ships":[{"SeqNum":1,"Distance":49.8,"Speed":"0.12","Position":1,"Amplitude":12}]}
package:{"ShipCount":1,"TimeMark":703223,"Ships":[{"SeqNum":1,"Distance":48.33,"Speed":"0.12","Position":1,"Amplitude":7}]}
package:{"ShipCount":1,"TimeMark":705439,"Ships":[{"SeqNum":1,"Distance":166.99,"Speed":"0.82","Position":1,"Amplitude":8}]}
package:{"ShipCount":1,"TimeMark":707654,"Ships":[{"SeqNum":1,"Distance":51.26,"Speed":"0.16","Position":1,"Amplitude":15}]}
package:{"ShipCount":1,"TimeMark":709870,"Ships":[{"SeqNum":1,"Distance":52.73,"Speed":"0.16","Position":1,"Amplitude":10}]}
package:{"ShipCount":1,"TimeMark":712086,"Ships":[{"SeqNum":1,"Distance":51.26,"Speed":"0.16","Position":1,"Amplitude":15}]}
package:{"ShipCount":1,"TimeMark":714301,"Ships":[{"SeqNum":1,"Distance":52.73,"Speed":"0.16","Position":1,"Amplitude":12}]}
package:{"ShipCount":1,"TimeMark":716517,"Ships":[{"SeqNum":1,"Distance":51.26,"Speed":"0.16","Position":1,"Amplitude":12}]}
package:{"ShipCount":1,"TimeMark":718732,"Ships":[{"SeqNum":1,"Distance":54.19,"Speed":"0.16","Position":1,"Amplitude":9}]}
package:{"ShipCount":1,"TimeMark":720948,"Ships":[{"SeqNum":1,"Distance":54.19,"Speed":"0.16","Position":1,"Amplitude":12}]}
package:{"ShipCount":1,"TimeMark":723164,"Ships":[{"SeqNum":1,"Distance":57.12,"Speed":"0.16","Position":1,"Amplitude":10}]}
package:{"ShipCount":1,"TimeMark":725379,"Ships":[{"SeqNum":1,"Distance":54.19,"Speed":"0.16","Position":1,"Amplitude":16}]}
package:{"ShipCount":1,"TimeMark":727595,"Ships":[{"SeqNum":1,"Distance":49.8,"Speed":"0.16","Position":1,"Amplitude":8}]}
package:{"ShipCount":1,"TimeMark":729811,"Ships":[{"SeqNum":1,"Distance":57.12,"Speed":"0.16","Position":1,"Amplitude":11}]}
package:{"ShipCount":1,"TimeMark":732026,"Ships":[{"SeqNum":1,"Distance":58.59,"Speed":"0.16","Position":1,"Amplitude":11}]}
package:{"ShipCount":1,"TimeMark":734242,"Ships":[{"SeqNum":1,"Distance":55.66,"Speed":"0.16","Position":1,"Amplitude":11}]}
package:{"ShipCount":1,"TimeMark":736457,"Ships":[{"SeqNum":1,"Distance":54.19,"Speed":"0.16","Position":1,"Amplitude":5}]}
package:{"ShipCount":1,"TimeMark":738673,"Ships":[{"SeqNum":1,"Distance":60.05,"Speed":"0.16","Position":1,"Amplitude":8}]}
package:{"ShipCount":1,"TimeMark":740889,"Ships":[{"SeqNum":1,"Distance":57.12,"Speed":"0.16","Position":1,"Amplitude":12}]}
package:{"ShipCount":1,"TimeMark":743104,"Ships":[{"SeqNum":1,"Distance":55.66,"Speed":"0.16","Position":1,"Amplitude":8}]}
package:{"ShipCount":1,"TimeMark":745320,"Ships":[{"SeqNum":1,"Distance":58.59,"Speed":"0.2","Position":1,"Amplitude":12}]}
package:{"ShipCount":1,"TimeMark":747535,"Ships":[{"SeqNum":1,"Distance":57.12,"Speed":"0.2","Position":1,"Amplitude":12}]}
package:{"ShipCount":1,"TimeMark":749751,"Ships":[{"SeqNum":1,"Distance":58.59,"Speed":"0.2","Position":1,"Amplitude":10}]}
package:{"ShipCount":1,"TimeMark":751967,"Ships":[{"SeqNum":1,"Distance":60.05,"Speed":"0.2","Position":1,"Amplitude":10}]}
package:{"ShipCount":1,"TimeMark":754182,"Ships":[{"SeqNum":1,"Distance":58.59,"Speed":"0.24","Position":1,"Amplitude":9}]}
package:{"ShipCount":1,"TimeMark":756398,"Ships":[{"SeqNum":1,"Distance":58.59,"Speed":"0.24","Position":1,"Amplitude":14}]}
package:{"ShipCount":1,"TimeMark":758613,"Ships":[{"SeqNum":1,"Distance":60.05,"Speed":"0.24","Position":1,"Amplitude":12}]}
package:{"ShipCount":1,"TimeMark":760829,"Ships":[{"SeqNum":1,"Distance":62.98,"Speed":"0.24","Position":1,"Amplitude":12}]}
package:{"ShipCount":1,"TimeMark":763045,"Ships":[{"SeqNum":1,"Distance":60.05,"Speed":"0.28","Position":1,"Amplitude":7}]}
package:{"ShipCount":1,"TimeMark":765260,"Ships":[{"SeqNum":1,"Distance":225.58,"Speed":"1.15","Position":1,"Amplitude":15}]}
package:{"ShipCount":1,"TimeMark":767476,"Ships":[{"SeqNum":1,"Distance":65.91,"Speed":"0.28","Position":1,"Amplitude":5}]}
package:{"ShipCount":1,"TimeMark":769692,"Ships":[{"SeqNum":1,"Distance":64.45,"Speed":"0.28","Position":1,"Amplitude":8}]}
